ID,English/Anglais,French/Français,Type,Notify_Organisation_ID,Email_Domain
001I9000004zOqhIAE,Accessibility Standards Canada,Normes d'accessibilité Canada,GC Department,9e901bb2-5345-4db5-8ad6-9026d5f6c4f0,asc-nac.gc.ca
001I9000005DbtMIAS,Administrative Tribunals Support Service of Canada,Service canadien d’appui aux tribunaux administratifs,GC Department,,tribunal.gc.ca
001I9000004pwojIAA,Agriculture and Agri Food Canada,Agriculture et Agroalimentaire Canada,GC Department,687fc7d7-59b4-4111-a04a-40a061906,ecb,agr.gc.ca
001I9000004Vt5WIAS,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,GC Department,01315b61-4236-41e4-96f2-44559c2eafe1,acoa-apeca.gc.ca
001I900000505PuIAI,Atomic Energy of Canada Ltd,Énergie atomique du Canada limitée,Crown Corp,,aecl.ca
001I900000505QTIAY,Business Development Bank of Canada,Banque de développement du Canada,Crown Corp,,bdc.ca
001I9000004Vt5XIAS,Canada Border Services Agency,Agence des services frontaliers du Canada,GC Department,42f9d2f7-3b79-4ee7-8b3e-26d9246f7252,cbsa-asfc.gc.ca
001I9000004Vt5YIAS,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec,GC Department,00d617c6-c717-4c5a-a760-956204e7bfa2,dec-ced.gc.ca
001I90000050b1vIAA,Canada Employment Insurance Commission,Commission de l’assurance-emploi du Canada,GC Department,,
001I9000005tFjAIAU,Canada Energy Regulator,Régie de l'énergie du Canada,GC Department,,cer-rec.gc.ca
001I9000005063XIAQ,Canada Mortgage and Housing Corporation,Société canadienne d'hypothèques et de logement,Crown Corp,,cmhc-schl.gc.ca
001I900000505hvIAA,Canada Post,Postes Canada,Crown Corp,,canadapost-postescanada.ca
001I9000004Vt5ZIAS,Canada Revenue Agency,Agence du revenu du Canada,GC Department,130baa74-2f4a-4f8e-9fd7-6b94daf1b8f1,cra-arc.gc.ca
001I9000004Vt5aIAC,Canada School of Public Service,École de la fonction publique du Canada,GC Department,ff731c50-3691-4fae-8a4d-8f72be4181cd,csps-efpc.gc.ca
001I9000005064uIAA,Canada Science and Technology Museum,Musée des sciences et de la technologie du Canada,Crown Corp,,
001I90000050b2KIAQ,Canadian Air Transport Security Authority,L’Administration canadienne de la sûreté du transport aérien,Crown Corp,,catsa-acsta.gc.ca
001I900000503ncIAA,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail,GC Department,,ccohs.ca
001I9000005064zIAA,Canadian Dairy Commission,Commission canadienne du lait,Crown Corp,,cdc-ccl.gc.ca
001I9000004Vt5bIAC,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,GC Department,37a89a3a-f516-496a-95e4-edfdcfc13732,inspection.gc.ca
001I9000004Vt5cIAC,Canadian Grain Commission,Commission canadienne des grains,GC Department,74e2b999-650e-453c-88b1-8f57d22c84a8,grainscanada.gc.ca
001I9000004Vt5dIAC,Canadian Heritage,Patrimoine canadien,GC Department,ed374cb8-4c01-41d1-9abf-315806824224,pch.gc.ca
001I9000004Vt5eIAC,Canadian Human Rights Commission,Commission canadienne des droits de la personne,GC Department,80d45c47-9943-431c-b15b-f9e3a3c776fd,chrc-ccdp.gc.ca
001I900000503mHIAQ,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada,GC Department,,cihr-irsc.gc.ca
001I90000050aK9IAI,Canadian Intellectual Property Office,Office de la propriété intellectuelle du Canada,GC Department,86b7810d-78af-47e3-ab01-d655c43bd449,
001OO00000IclDKYAZ,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes,GC Department,,scics.ca
001I9000005SgSOIA0,Canadian International Trade Tribunal,Tribunal canadien du commerce extérieur,GC Department,,
001I900000504boIAA,Canadian Museum for Human Rights,Musée canadien pour les droits de la personne,Crown Corp,,museumforhumanrights.ca
001I90000050662IAA,Canadian Museum of History,Musée canadien de l'histoire,Crown Corp,,museedelhistoire.ca
001I9000005066MIAQ,Canadian Museum of Immigration at Pier 21,Musée canadien de l’immigration du Quai 21,Crown Corp,,pier21.ca
001I900000505NBIAY,Canadian Museum of Nature,Musée canadien de la nature,Crown Corp,,nature.ca
001I9000004Vt5fIAC,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord,GC Department,,cannor.gc.ca
001I9000004Vt5gIAC,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,GC Department,2e5ee51e-993b-418c-ba36-cf487ecd1e27,cnsc-ccsn.gc.ca
001I9000004Vt5hIAC,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,GC Department,,crtc.gc.ca
001I90000050a3fIAA,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,GC Department,smtp.gc.ca
001I9000004Vt5iIAC,Canadian Space Agency,Agence spatiale canadienne,GC Department,c9e21254-8d93-4168-b55a-9d1b130eb00d,asc-csa.gc.ca
001I900000503r9IAA,Canadian Transportation Agency,Office des transports du Canada,GC Department,c5f5aee8-b508-47ad-9e77-7227f0a254a7,otc-cta.gc.ca
001OO000006vJNYYA2,Civilian Review and Complaints Commission for the RCMP,Commission civile d’examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,GC Department,,crcc-ccetp.gc.ca
001I9000004zLveIAE,Communications Security Establishment Canada,Centre de la sécurité des télécommunications Canada,GC Department,1572a41d-0373-43a8-a0fe-32e7f6c44e04,CSE-CST.GC.CA
001I900000503tPIAQ,Copyright Board Canada,Commission du droit d'auteur du Canada,GC Department,,cb-cda.gc.ca
001I900000503m9IAA,Correctional Service Canada,Service correctionnel Canada,GC Department,f8ff9966-68e3-436b-aaf1-a6b3ca924607,csc-scc.gc.ca
001I9000004Vt5kIAC,Courts Administration Service,Service administratif des tribunaux judiciaires,GC Department,,cas-satj.gc.ca
